HAGR_ID,Organism_Kingdom,Organism_Phylum,Organism_Class,Organism_Order,Organism_Family,Organism_Genus,Organism_Species,Organism_Common_Name,Female_Maturity_in_Days,Male_Maturity_in_Days,Gestation_or_Incubation_Days,Weaning_Days,Litter_Clutch_Size,Litters_Clutches_Per_Year,Interlitter_Interbirth_Interval,Birth_Weight_in_Grams,Weaning_Weight_in_Grams,Adult_Weight_in_Grams,Growth_Rate,Maximum_Longevity_Years,Source,Specimen_Origin,Sample_Size,Data_Quality,IMR_Per_Year,MRDT_in_Years,Metabolic_Rate_in_Weeks,Body_Mass_in_Grams,Temperature_in_Kelvin,References
665,Animalia,Chordata,Aves,Passeriformes,Coerebidae,Coereba,flaveola,Bananaquit,,,,,,,,,,10.1,,8.6,427,wild,medium,acceptable,,,,,,"427,820"
666,Animalia,Chordata,Aves,Passeriformes,Corcoracidae,Corcorax,melanoramphos,White-winged chough,,,,,,,,,,364,,16.3,575,captivity,small,acceptable,,,,,,"575,820"
667,Animalia,Chordata,Aves,Passeriformes,Corcoracidae,Struthidea,cinerea,Apostlebird,,,,,,,,,,132,,25,575,captivity,small,acceptable,,,,,,"575,820"
668,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,californica,Western scrub jay,,,18,,4,1,,5.4,,88.7,,15.8,445,wild,medium,acceptable,,,,,,445
669,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,coerulescens,Scrub jay,365,365,17,,4,1,,4.2,,78.7,0.335,15,427,wild,medium,acceptable,,,,,,"4,124,274,374,444,450,000,000"
670,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,insularis,Island scrub jay,365,365,18,,4,1,,,,114,,15.3,445,wild,medium,acceptable,,,,,,445
671,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,ultramarina,Mexican jay,,,18,,4,1,,6,,130,,25,972,captivity,medium,acceptable,,,,,,"1,444,445,972"
672,Animalia,Chordata,Aves,Passeriformes,Corvidae,Coloeus,monedula,Eurasian crow and Eurasian jackdaw,730,730,,,,,,,,246,0.269,20.3,450,wild,medium,acceptable,,,,,,"450,729,732,820,868"
673,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,brachyrhynchos,American crow,730,730,18,,5,1,,15.6,,384.8,0.172,20,,unknown,medium,acceptable,,,,,,"61,444,445,732"
674,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,caurinus,Northwestern crow,730,730,18,,4,1,,13.5,,294,0.298,16.7,427,wild,small,acceptable,,,,,,"427,444,445,732"
675,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,corax,Common raven,1095,1095,19,,5,1,,25,,1041.2,,69,450,captivity,medium,acceptable,,,5.5656,1203,,"62,405,425,444,445,400"
676,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,cornix,Hooded crow,,,,,,,,,,,0.242,16.8,575,captivity,small,acceptable,,,,,,"575,732"
677,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,corone,Carrion crow,1095,1095,,,,,,,,472.7,0.282,19.2,450,wild,medium,acceptable,,,3.3531,518,,"61,425,450,729,732"
678,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,coronoides,Australian raven,,,,,,,,,,645,,21.8,575,captivity,tiny,acceptable,,,,,,"575,820"
679,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,cryptoleucus,Chihuahuan raven,,,21,,5,1,,14.4,,534,0.252,21.8,427,wild,small,acceptable,,,3.86705,640,,"425,427,444,445,732,000"
680,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,frugilegus,Rook,730,730,,,,,,,,453.5,,22.9,450,wild,medium,acceptable,,,2.6433,390,,"425,450,729,820"
681,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,hawaiiensis,Hawaiian crow,730,1460,20,,3,1,,,,520,,25,445,wild,medium,acceptable,,,,,,445
682,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,ossifragus,Fish crow,730,730,17,,4,1,,,,418,,14.5,579,wild,small,acceptable,,,,,,"444,445,579"
683,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,cristata,Blue jay,365,365,17,,4,1,,5.5,,80.8,,26.2,445,captivity,small,acceptable,,,,,,"61,444,445,579"
684,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,stelleri,Steller's jay,365,365,16,,4,1,,,,99.1,,16.1,577,wild,medium,acceptable,,,,,,"444,445,577,818"
685,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,caeruleus,Azure jay,,,,,,,,,,272,,36,1,captivity,tiny,acceptable,,,,,,"1,820"
686,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,yncas,Green jay,365,365,17,,4,1.5,,,,78.5,,,,unknown,small,low,,,,,,"427,444,445,820"
687,Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,glandarius,Eurasian jay,365,365,,,,,,,,159.7,,17.9,729,wild,medium,acceptable,,,1.39997,153,,"425,729,820"
688,Animalia,Chordata,Aves,Passeriformes,Corvidae,Gymnorhinus,cyanocephalus,Pinyon jay,365,365,17,,4,1,,6.26,,105,0.303,14.6,427,wild,medium,acceptable,,,,,,"427,444,445,732,818"
689,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,caryocatactes,Spotted nutcracker,365,365,,,,,,,,183,0.28,16.2,450,wild,medium,acceptable,,,1.346,147,,"450,510,729,732,820"
690,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,columbiana,Clark's nutcracker,365,365,18,,2.5,1,,7.1,,130,,17.4,579,wild,small,acceptable,,,,,,"444,445,579"
691,Animalia,Chordata,Aves,Passeriformes,Corvidae,Perisoreus,canadensis,Gray jay,365,365,17,,3,1,,5.7,,70.3,,19.2,579,wild,small,acceptable,,,,,,"444,445,579"
692,Animalia,Chordata,Aves,Passeriformes,Corvidae,Perisoreus,infaustus,Siberian jay,,,,,,,,,,84.4,,17.9,450,wild,medium,acceptable,,,,,,"4,508,201,143"
693,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,hudsonia,Black-billed magpie,365,730,18,,6.5,1,,,,177,,20,445,captivity,medium,acceptable,,,1.196,158.9,,"435,445"
694,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,nuttalli,Yellow-billed magpie,365,365,18,,6.5,1,,6.9,,159,,10,1,wild,medium,questionable,,,1.471,151.9,,"1,435,444,445,820"
695,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,pica,Eurasian magpie,730,730,21,,,,,,,178,0.293,21.7,450,wild,medium,acceptable,,,,,,"614,507,297,321,143"
696,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,graculus,Alpine chough,1095,1095,,,,,,,,211.5,,24.4,450,wild,medium,acceptable,,,,,,"450,729,820"
697,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,pyrrhocorax,Red-billed chough,730,730,,,,,,,,277.8,0.275,20.3,575,captivity,medium,acceptable,,,,,,"575,729,732,801,820"
698,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Rupicola,rupicola,Guianan cock-of-the-rock,,,,,,,,,,195,,7,575,captivity,small,acceptable,,,,,,"575,820"
699,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Aimophila,ruficeps,Rufous-crowned sparrow,365,365,12,,3,2,,,,18.8,,5.1,427,wild,medium,acceptable,,,,,,"427,444,445"
700,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus,bairdii,Baird's sparrow,,,,,4.5,,,,,19,,,,unknown,small,low,,,,,,"427,445"
701,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus,caudacutus,Saltmarsh sharp-tailed sparrow,365,365,11,,4,,,1.63,,16.5,0.56,10,1,wild,medium,acceptable,,,,,,"1,444,445,732"
702,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus,henslowii,Henslow's sparrow,,,,,,,,,,12.5,,6.5,427,wild,medium,acceptable,,,,,,"427,445"
703,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus,leconteii,Le Conte's sparrow,,,,,,,,,,,,4.1,427,wild,medium,acceptable,,,,,,427
704,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus,maritimus,Seaside sparrow,365,365,12,,4,2,,,,20,0.544,9,1,wild,medium,acceptable,,,,,,"1,444,445,732"
705,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus,nelsoni,Nelson's sharp-tailed sparrow,,,,,,,,,,15.2,,7.1,427,wild,medium,acceptable,,,,,,"427,820"
706,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus,savannarum,Grasshopper sparrow,365,365,11,,4,2,,2,,17.6,,9.1,427,wild,medium,acceptable,0.4,,0.1796,13.8,,"427,435,444,445,552,000"
707,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Amphispiza,bilineata,Black-throated sparrow,,,12,,3,2,,1.7,,13.5,,6,580,wild,medium,acceptable,,,0.1988,11.6,,"435,444,445,580,820"
708,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Arremonops,rufivirgatus,Olive sparrow,,,,,3.5,,,,,22.4,,8.2,427,wild,medium,acceptable,,,,,,"427,445,820"
709,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Artemisiospiza,belli,Sage sparrow,,,,,,,,,,17.1,,9.1,427,wild,medium,acceptable,,,,,,"427,820"
710,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Calamospiza,melanocorys,Lark bunting,365,365,12,,5,1,,3.28,,32.6,,4.8,427,wild,medium,acceptable,,,,,,"427,444,445"
711,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Chondestes,grammacus,Lark sparrow,,,12,,4,1.5,,2.2,,27.1,,7.8,580,wild,small,acceptable,,,,,,"444,445,580"
712,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,aureola,Yellow-breasted bunting,,,,,,,,,,19.6,,7,450,wild,medium,acceptable,,,,,,"450,820"
713,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,calandra,Corn bunting,365,365,,,,,,,,48.8,,10.6,450,wild,medium,acceptable,,,,,,"450,729,820"
714,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,cirlus,Cirl bunting,365,365,,,,,,,,25.6,,6.1,729,wild,medium,acceptable,,,,,,"729,820"
715,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,citrinella,Yellowhammer,365,365,,,,,,,,29.7,,13.2,450,wild,medium,acceptable,,,0.436,26.8,,"450,510,729,820"
716,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,hortulana,Ortolan bunting,,,,,,,,,,19.9,,6.8,450,wild,medium,acceptable,,,0.407,27,,"450,510,820"
717,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,melanocephala,Black-headed bunting,,,,,,,,,,28.4,,11,972,wild,medium,acceptable,,,,,,"820,972"
718,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,schoeniclus,Reed bunting,365,365,,,,,,,,18.4,,12.2,450,wild,medium,acceptable,,,0.3,17.6,,"450,510,729,820"
719,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Junco,hyemalis,Dark-eyed junco,365,365,11,,4,1.5,,2.3,,19,,11.3,818,wild,large,acceptable,,,0.2959,18,,"435,444,445,818,911"
720,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Junco,phaeonotus,Yellow-eyed junco,365,365,13,,2,1.5,,2.42,,20,,6.6,580,wild,small,acceptable,,,,,,"444,445,580"
721,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,georgiana,Swamp sparrow,365,365,13,,4,1.5,,1.46,,16.1,,7.8,427,wild,medium,acceptable,,,0.211,14.9,,"427,435,444,445,820"
722,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,lincolnii,Lincoln's sparrow,365,365,11,,4,1,,1.69,,17.35,,7.6,580,wild,medium,acceptable,,,,,,"444,445,580"
723,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,melodia,Song sparrow,365,365,12,,4,2.5,,1.5,,22.7,,11.3,580,wild,medium,acceptable,,,0.25,19.1,,"384,354,444,455,808,000,000,000"
724,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,aberti,Abert's towhee,365,365,14,,3,1.5,,3.63,,46,0.476,8.6,580,wild,medium,acceptable,,,0.73425,46.6,,"425,444,445,580,732,000"
725,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,crissalis,California towhee,,,13,,,2,,,,47,,12.8,445,wild,medium,acceptable,,,,,,445
726,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,fusca,Canyon towhee,365,365,11,,3,2.5,,,,44.4,,12.8,580,wild,small,acceptable,,,0.670615,43.7,,"425,444,445,580,820,000"
727,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Passerculus,sandwichensis,Savannah sparrow,365,365,12,,4,1,,1.7,,20.2,,18,"Julie Zickefoose, pers. comm.",captivity,medium,acceptable,,,0.221,15.9,,"427,435,444,445,820"
728,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Passerella,iliaca,Fox sparrow,,,13,,4,1,,2.7,,35.5,,10.3,427,wild,medium,acceptable,,,,,,"427,444,445"
729,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Peucaea,aestivalis,Bachman's sparrow,365,365,13,,4,2,,1.91,,19.6,,3.9,427,wild,medium,acceptable,,,,,,"427,444,445"
730,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pipilo,chlorurus,Green-tailed towhee,365,365,12,,4,,,3.8,,28.88,,7.7,580,wild,small,acceptable,,,,,,"444,445,580,818"
731,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pipilo,erythrophthalmus,Eastern towhee,365,365,12,,4,,,3.1,,39.4,0.488,12.3,580,wild,medium,acceptable,,,,,,"444,445,580,732"
732,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pipilo,maculatus,Spotted towhee,730,730,,,,,,,,40.4,,11,427,wild,medium,acceptable,,,,,,"427,818"
733,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Pooecetes,gramineus,Vesper sparrow,365,365,12,,4,2,,2,,25.7,0.624,7.9,577,wild,medium,acceptable,,,0.27412,21.5,,"425,444,445,577,732,000"
734,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,breweri,Brewer's sparrow,365,365,11,,3,1,,1.32,,11,0.545,6.2,818,wild,medium,acceptable,,,,,,"444,445,732,818"
735,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,pallida,Clay-colored sparrow,335,335,12,,4,1,,1.2,,11.45,,6.9,427,wild,small,acceptable,,,,,,"427,444,445"
736,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,passerina,Chipping sparrow,365,365,12,,4,2,,1.3,,12.2,0.544,11.8,427,wild,large,acceptable,,,0.1945,11.9,,"427,435,444,445,732,000,000"
737,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizella,pusilla,Field sparrow,365,365,12,,4,,,,,12.5,0.621,10.3,427,wild,medium,acceptable,,,,,,"427,444,445,732"
738,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Spizelloides,arborea,American tree sparrow,365,365,12,,4,1,,1.6,,16.6,,10.8,427,wild,large,acceptable,,,,,,"427,444,445,818"
739,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,albicollis,White-throated sparrow,365,365,13,,4,1.5,,2.8,,21.1,0.627,14.9,427,wild,medium,acceptable,,,0.278,20.2,,"61,427,435,444,445,700"
740,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,atricapilla,Golden-crowned sparrow,365,365,12,,4,1.5,,3.1,,31.55,0.632,10.5,580,wild,large,acceptable,,,,,,"444,445,580,732"
741,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,leucophrys,White-crowned sparrow,365,365,12,,4,1.5,,2.7,,25.82,0.512,13.3,427,wild,large,acceptable,,,0.336,26.1,,"62,427,435,444,445,700"
742,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,querula,Harris's sparrow,365,365,13,,4,1,,3.1,,33.1,,11.7,580,wild,medium,acceptable,,,0.4552,33.3,,"425,444,445,580,818"
743,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Erythrura,gouldiae,Gouldian finch,,,13,,,,,,,12,,6,986,captivity,large,acceptable,,,,,,986
744,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,oryzivora,Java sparrow,,,14,,,2.5,,,,24.8,,,,unknown,large,low,,,,,,445
745,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,striata,White-rumped munia,,,,,,,,,,12.3,0.219,10,2,unknown,medium,acceptable,0.1,2.5,0.21538,10.3,,"2,425,732,820"
746,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Taeniopygia,guttata,Zebra finch,60,60,,,,,,,,12,,12,405,unknown,large,acceptable,,,,,314.15,"62,405,432,739,751,700,000,000,000"
747,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,flammea,Common redpoll,365,365,10,,5,2,,1.3,,14.2,,12.2,450,wild,medium,acceptable,,,0.2888,14,,"425,444,445,450,729,000"
748,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,hornemanni,Hoary redpoll,365,365,12,,4,1,,1.3,,19.25,,6.8,427,wild,medium,acceptable,,,,,,"427,444,445"
749,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,carduelis,European goldfinch,365,365,,,,,,,,16,,27,,unknown,medium,acceptable,,,,,,"405,729"
750,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,citrinella,Citril finch,365,365,,,,,,,,12,,,,unknown,small,low,,,,,,"729,820"
751,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carpodacus,erythrinus,Common rosefinch,365,365,,,,,,,,24,,9,729,wild,medium,acceptable,,,0.358,21.6,,"510,729,820"
752,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chloris,chloris,European greenfinch,365,365,,,,,,,,26,,13.6,450,wild,medium,acceptable,,,,,,"450,729,820"
753,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chlorodrepanis,stejnegeri,Kauai amakihi,,,14,,3,,,1.5,,16.65,,9,445,captivity,small,acceptable,,,,,,445
754,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chlorodrepanis,virens,Hawaii amakihi,,,14,,2.5,1.5,,1.5,,13.35,0.368,12,577,wild,medium,acceptable,,,,,,"445,577,732"
755,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Coccothraustes,coccothraustes,Hawfinch,365,365,,,,,,,,56.6,,12.6,450,wild,medium,acceptable,,,,,,"444,450,729,820"
756,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,coelebs,Chaffinch,365,365,,,,,,,,20.7,,29,1,captivity,small,acceptable,,,0.373,21,,"1,61,510,729"
757,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,montifringilla,Brambling,365,365,,,,,,,,23.2,,14.8,729,wild,medium,acceptable,,,0.383,21,,"510,729,820"
758,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,cassinii,Cassin's finch,365,365,13,,4,1,,,,27.5,,7,580,wild,medium,acceptable,,,0.339,27.4,,"435,444,445,580"
759,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,mexicanus,House finch,,,14,,4,3,,,,21.4,,11.6,580,wild,medium,acceptable,,,0.3108,20.4,,"435,444,445,580,820"
760,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,purpureus,Purple finch,365,365,13,,4,2,,,,25.42,,14,445,wild,medium,acceptable,,,,,,"444,445"
761,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Hemignathus,wilsoni,Akiapolaau,365,365,,,1,1,,,,28,,13,445,wild,medium,acceptable,,,,,,445
762,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Hesperiphona,vespertina,Evening grosbeak,,,13,,3,1.5,,,,54.9,,17,,unknown,medium,acceptable,,,0.7294,54.5,,"425,444,445"
763,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Himatione,sanguinea,Apapane,,,13,,3,1,,3,,13.4,,11,580,captivity,small,acceptable,,,0.3,13.5,,"435,445,580"
764,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,atrata,Black rosy-finch,365,365,13,,5,1,,,,24,,8.6,427,wild,medium,acceptable,,,,,,"427,445"
765,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,australis,Brown-capped rosy finch,,,,,,,,,,26.6,,5.9,427,wild,medium,acceptable,,,,,,"427,820"
766,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,tephrocotis,Gray-crowned rosy-finch,365,365,14,,4,2,,,,35.7,,6.6,445,wild,small,acceptable,,,,,,"445,820,972"
767,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,cannabina,Eurasian linnet,365,365,,,,,,,,19.5,,9.4,450,wild,medium,acceptable,,,,,,"450,729,820"
768,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,flavirostris,Twite,365,365,,,,,,,,15.4,,6.1,729,wild,medium,acceptable,,,,,,"729,820"
769,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,curvirostra,Red crossbill,365,365,13,,3,2,,,,39.5,,16.1,427,wild,small,acceptable,,,0.607,39.4,,"425,427,444,445,729"
770,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,leucoptera,White-winged crossbill,,,13,,3,3,,,,28.9,,4,1,captivity,small,questionable,,,0.46992,29.8,,"1,425,444,445,820"
771,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxioides,bailleui,Palila,365,730,16,,2,1,,2,,37.85,,13,445,wild,medium,acceptable,,,,,,445
772,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxops,coccineus,Akepa,365,730,15,,1.5,1,,,,10.4,,10,445,wild,medium,acceptable,,,,,,445
773,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Magumma,parva,Anianiau,365,365,14,,3,1,,1.2,,10,,9.5,445,wild,medium,acceptable,,,,,,445
774,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Melamprosops,phaeosoma,Poo-uli,,,,,,,,,,25.5,,9.2,427,wild,medium,acceptable,,,,,,"427,820"
775,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Palmeria,dolei,Akohekohe or crested honeycreeper,730,730,17,,1.5,2.5,,2.13,,26.2,,9.2,427,wild,medium,acceptable,,,,,,"427,445"
776,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Paroreomyza,montana,Maui alauahio,608,608,16,,2,1,,1.7,,13.15,,,,unknown,small,low,,,,,,445
777,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pinicola,enucleator,Pine grosbeak,365,365,13,,4,,,,,65.3,,9.8,427,wild,small,acceptable,,,,,,"427,444,445,977"
778,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pyrrhula,pyrrhula,Eurasian bullfinch,365,365,,,,,,,,24.4,,17.5,729,wild,medium,acceptable,,,,,,"729,820"
779,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Serinus,canaria,House canary,,,,,,,,,,24.3,,24,1,captivity,medium,acceptable,,,0.230065,13.3,314.15,"1,62,403,405,425,820"
780,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Serinus,serinus,European serin,365,365,,,,,,,,11.2,0.315,,,unknown,small,low,,,,,,"450,729,732,820"
781,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,pinus,Pine siskin,,,13,,3,1,,1.1,,12.7,,11,,unknown,medium,acceptable,,,0.3003,14,,"444,445,510,820"
782,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,psaltria,Lesser goldfinch,,,12,,4,1,,,,9.23,,5.7,580,wild,medium,acceptable,,,,,,"444,445,580"
783,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,spinus,Eurasian siskin,365,365,,,,,,,,13.2,,13.5,450,wild,medium,acceptable,,,,,,"450,729,820"
784,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,tristis,American goldfinch,,,13,,5,2,,1.08,,12.8,,13,,unknown,medium,acceptable,,,0.4108,13.6,,"435,444,445,820"
785,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Telespiza,cantans,Laysan finch,,,16,,3,2,,2.92,,33.3,,12,445,captivity,small,acceptable,,,,,,"427,445"
786,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Telespiza,ultima,Nihoa finch,,,15,,3,,,,,24.5,,12,445,wild,medium,acceptable,,,,,,445
787,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Vestiaria,coccinea,Iiwi,,,,,,,,,,18.3,,8.8,427,wild,medium,acceptable,,,,,,"427,820"
788,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Cecropis,daurica,Red-rumped swallow,,,,,,,,,,22.2,,9,450,wild,medium,acceptable,,,,,,"450,820"
789,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,urbicum,Common house-martin and northern house-martin,365,365,,,,,,,,14.5,0.354,15,450,wild,medium,acceptable,,,,,,"450,729,732,820"
790,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,Barn swallow,365,365,15,,6,2,,2.3,,18.3,0.485,16,,unknown,medium,acceptable,,,0.3158,18,,"884,444,455,107,237,000,000,000,000,000"
791,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,fulva,Cave swallow,365,,,,4,2,,,,20.15,,12.2,427,wild,small,acceptable,,,,,,"427,444,445,972"
792,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,Cliff swallow,365,365,14,,4,1,,1.9,,23.24,0.558,11.8,427,wild,large,acceptable,,,,,,"427,444,445,732"
793,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne,subis,Purple martin,365,365,15,,5,1,,2.8,,45,0.384,13.8,579,wild,medium,acceptable,,,,,,"4,444,455,797,321,140"
794,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,riparia,Bank swallow,365,365,15,,4,,,1.6,,12.7,,10,450,wild,large,acceptable,,,0.2328,13.6,,"444,445,450,510,729,000"
795,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,ruficollis,Southern rough-winged swallow,,,14,,6,,,,,16,0.46,5.9,579,wild,medium,acceptable,,,,,,"444,579,732"
796,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis,Northern rough-winged swallow,365,365,,,,,,,,15.7,,5.9,427,wild,tiny,acceptable,,,,,,"427,820,977"
797,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,bicolor,Tree swallow,365,365,14,,5,1,,1.6,,19,0.46,12.1,427,wild,medium,acceptable,,,,,,"4,194,274,324,444,450,000,000,000,000"
798,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,thalassina,Violet-green swallow,,,14,,4,1,,1.66,,14.2,0.412,9.1,427,wild,medium,acceptable,,,,,,"427,444,445,732,820"
799,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,phoeniceus,Red-winged blackbird,365,365,12,,3.5,1.5,,2.75,,56.7,0.556,20,,unknown,medium,acceptable,,,,,,"61,444,445,732"
800,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,tricolor,Tricolored blackbird,,,11,,3,2,,3.05,,56.5,,13.2,427,wild,medium,acceptable,,,,,,"427,444,445"
